incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
Lone Fire,Y,2013-06-03T20:00:00Z,2013-06-03T13:49:00Z,CAL FIRE Butte Unit,,Butte,Palermo Road and Lone Tree Road near Palermo,298.0,100.0,All road closures have been lifted.,"CAL FIRE Butte Unit, CAL FIRE, El Medio Fire, Chico Fire Dept, Oroville Fire Dept, Butte Co. Sheriff's Dept, Butte Co. Public Works, PG&E and CHP",-121.576804,39.434183,,1a5192f1-bc99-4130-8683-381e0534b76a,https://www.fire.ca.gov/incidents/2013/6/3/lone-fire/,2013-06-03T20:00:00Z,2013-06-03,2013-06-03,N,True,False,,,,,
Hathaway Fire,Y,2013-06-09T16:45:00Z,2013-06-09T12:30:00Z,USFS San Bernardino National Forest,,Riverside,"Hathaway Canyon area, northeast of Banning",0.0,100.0,,USFS San Bernardino National Forest,-116.84137,33.99647,,befb9d5c-c0ea-48b8-8589-2586be0275af,https://www.fire.ca.gov/incidents/2013/6/9/hathaway-fire/,2013-06-09T16:45:00Z,2013-06-09,2013-06-09,N,False,False,19.9,0.0,63.0,22.2,2.0
Sonoma-Lake-Napa Unit Lightning Fires,Y,2013-06-14T15:45:00Z,2013-06-10T00:46:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,"Sonoma, Solano, Lake, Colusa","throughout Sonoma, Solano, Lake & Colusa Counties",28.0,100.0,,CAL FIRE Sonoma-Lake-Napa Unit,-122.0437,38.4229,,5ce45b6c-81b5-422c-9078-8c68dd872c8a,https://www.fire.ca.gov/incidents/2013/6/10/sonoma-lake-napa-unit-lightning-fires/,2013-06-14T15:45:00Z,2013-06-14,2013-06-10,N,True,False,,,,,
152 Fire,Y,2013-06-05T08:30:00Z,2013-06-04T15:42:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Merced,Hwy 152 in San Luis Creek Reservoir,124.0,100.0,,CAL FIRE Madera-Mariposa-Merced Unit,-121.006939,37.03776,,f9e85371-fc46-4f54-822c-7dcdaadde551,https://www.fire.ca.gov/incidents/2013/6/4/152-fire/,2013-06-05T08:30:00Z,2013-06-05,2013-06-04,N,True,False,19.3,0.0,66.0,21.1,2.2
Lake Fire,Y,2013-06-06T07:00:00Z,2013-06-05T16:05:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,Lakeshore Drive and Patterson Drive in Clearlake Oaks,30.0,100.0,,CAL FIRE Sonoma-Lake-Napa Unit,-122.703193,38.99233,,dcb21e64-9d38-47c2-848b-e8e0dea5c2de,https://www.fire.ca.gov/incidents/2013/6/5/lake-fire/,2013-06-06T07:00:00Z,2013-06-06,2013-06-05,N,True,False,,,,,
Powerhouse Fire,Y,2013-06-08T18:30:00Z,2013-05-30T15:28:00Z,USFS Angeles National Forest/Los Angeles County/CAL FIRE,,Los Angeles,Angeles National Forest,30274.0,100.0,,USFS Angeles National Forest/Los Angeles County/CAL FIRE,-118.423176,34.585595,,bf37805e-1cc2-4208-9972-753e47874c87,https://www.fire.ca.gov/incidents/2013/5/30/powerhouse-fire/,2013-06-08T18:30:00Z,2013-06-08,2013-05-30,N,True,False,,,,,
Vasco Fire,Y,2013-06-08T13:25:00Z,2013-06-08T10:16:00Z,CAL FIRE Santa Clara Unit,,Alameda,"off Vasco Road & North Vasco Road, north of Livermore",240.0,100.0,,CAL FIRE Santa Clara Unit,-121.737213,37.775057,,2ad509e4-99f1-4e1a-81eb-839f772f9c45,https://www.fire.ca.gov/incidents/2013/6/8/vasco-fire/,2013-06-08T13:25:00Z,2013-06-08,2013-06-08,N,True,False,,,,,
Viper Fire,Y,2013-06-08T19:00:00Z,2013-06-08T15:37:00Z,CAL FIRE/Riverside County Fire,,Riverside,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",42.0,100.0,,CAL FIRE/Riverside County Fire,-117.1265,33.96936,,e9505435-e861-4f33-9069-b0040fb2a135,https://www.fire.ca.gov/incidents/2013/6/8/viper-fire/,2013-06-08T19:00:00Z,2013-06-08,2013-06-08,N,True,False,20.1,0.0,63.0,22.0,2.2
Northern California Lightning Activity,Y,2013-06-14T16:30:00Z,2013-06-10T00:46:00Z,California Northern Region,,,Across Northern California,60.0,100.0,,California Northern Region,-121.5747,39.9845,,369e41d4-75a6-4be0-a38a-5f7450553631,https://www.fire.ca.gov/incidents/2013/6/10/northern-california-lightning-activity/,2013-06-14T16:30:00Z,2013-06-14,2013-06-10,N,True,False,,,,,
Roadrunner Fire,Y,2013-06-13T09:45:00Z,2013-06-12T16:43:00Z,CAL FIRE Amador-El Dorado Unit,,Amador,"Roadrunner Drive, south of Ione",96.0,100.0,,CAL FIRE Amador-El Dorado Unit,-120.966016,38.27783,,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,https://www.fire.ca.gov/incidents/2013/6/12/roadrunner-fire/,2013-06-13T09:45:00Z,2013-06-13,2013-06-12,N,True,False,,,,,
Revis Fire,Y,2013-06-14T16:30:00Z,2013-06-12T16:40:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,75.0,100.0,,CAL FIRE Madera-Mariposa-Merced Unit,-119.75636,37.169379,,7055a440-5d4c-4f58-bac9-2954ff6698a5,https://www.fire.ca.gov/incidents/2013/6/12/revis-fire/,2013-06-14T16:30:00Z,2013-06-14,2013-06-12,N,True,False,23.9,0.0,42.0,26.1,0.5
Clinton Fire,Y,2013-06-13T21:30:00Z,2013-06-13T11:54:00Z,CAL FIRE/Fresno County Fire,,Fresno,"Clinton and Highland, East of Fresno",108.0,100.0,,CAL FIRE/Fresno County Fire,-119.628389,36.772425,,a2cfda2a-21c1-4e45-90b5-37d931b4a926,https://www.fire.ca.gov/incidents/2013/6/13/clinton-fire/,2013-06-13T21:30:00Z,2013-06-13,2013-06-13,N,True,False,25.7,0.0,25.0,23.9,0.4
Carstens Fire,Y,2013-06-26T11:15:00Z,2013-06-16T14:12:00Z,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,,Mariposa,"Off Carstens Road, east of 140 in the Midpines area.",1708.0,100.0,,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest , CAL FIRE, US Forest Service, California Highway Patrol, National Park Service, Mariposa County, Mariposa County Fire, Mariposa County Sheriff.",-119.91071,37.58202,,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1,https://www.fire.ca.gov/incidents/2013/6/16/carstens-fire/,2013-06-26T11:15:00Z,2013-06-26,2013-06-16,N,True,False,,,,,
PFE Fire,Y,2013-06-13T14:15:00Z,2013-06-13T11:28:00Z,CAL FIRE/Placer County Fire,,Placer,"PFE Road and Watt Avenue, West Roseville",237.0,100.0,,CAL FIRE/Placer County Fire,-121.380862,38.729297,,fe47b1c2-b9c0-44be-8d10-f270056db35c,https://www.fire.ca.gov/incidents/2013/6/13/pfe-fire/,2013-06-13T14:15:00Z,2013-06-13,2013-06-13,N,True,False,,,,,
Michelle Fire,Y,2013-06-13T21:30:00Z,2013-06-13T15:54:00Z,CAL FIRE/Fresno County Fire,,Fresno,"off McKinley Ave & Academy Ave, north of Sanger ",35.0,100.0,,CAL FIRE/Fresno County Fire,-119.558244,36.763367,,953f17a1-2034-467b-b48c-28da1a9af60e,https://www.fire.ca.gov/incidents/2013/6/13/michelle-fire/,2013-06-13T21:30:00Z,2013-06-13,2013-06-13,N,True,False,25.7,0.0,25.0,23.9,0.4
Palmyrita Fire,Y,2013-06-15T08:00:00Z,2013-06-14T13:47:00Z,CAL FIRE/Riverside County Fire,,Riverside,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",40.0,100.0,,CAL FIRE/Riverside County Fire,-117.302057,34.001745,,2d1f0c40-92e7-4540-991b-d353ed68ec6c,https://www.fire.ca.gov/incidents/2013/6/14/palmyrita-fire/,2013-06-15T08:00:00Z,2013-06-15,2013-06-14,N,True,False,19.8,0.0,60.0,22.2,2.0
Rolling Fire,Y,2022-10-24T11:42:08Z,2013-06-16T18:17:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,"off Hwy 41 & Road 145, northwest of Friant ",480.0,100.0,,CAL FIRE Madera-Mariposa-Merced Unit,-119.78106,37.015575,,05d0fed7-8502-4a6f-9c5c-b9cee0e75408,https://www.fire.ca.gov/incidents/2013/6/16/rolling-fire/,2013-06-18T19:30:00Z,2013-06-18,2013-06-16,N,True,False,22.9,0.0,38.0,25.9,0.5
California Fire,Y,2013-06-18T22:30:00Z,2013-06-18T15:18:00Z,CAL FIRE Sanoma-Lake-Napa Unit,,Solano,"Off Lake Herman Rd, west of Hwy 680 in Benicia",124.0,100.0,,CAL FIRE Sanoma-Lake-Napa Unit,-122.13802,38.08744,,2b403f03-fe84-450a-90b7-befb8acc7e70,https://www.fire.ca.gov/incidents/2013/6/18/california-fire/,2013-06-18T22:30:00Z,2013-06-18,2013-06-18,N,True,False,,,,,
Sierra Fire,Y,2013-06-19T08:45:00Z,2013-06-17T14:41:00Z,CAL FIRE/Fresno County Fire,,Fresno,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",46.0,100.0,,CAL FIRE/Fresno County Fire,-119.463757,37.03087,,15e7e15d-f707-473e-b0f3-6534cfd845b7,https://www.fire.ca.gov/incidents/2013/6/17/sierra-fire/,2013-06-19T08:45:00Z,2013-06-19,2013-06-17,N,True,False,26.7,0.0,32.0,22.8,4.4
George Fire,Y,2013-06-25T17:15:00Z,2013-06-25T13:36:00Z,CAL FIRE/Fresno County Fire,,Fresno,off Bronco Lane in Squaw Valley,150.0,100.0,,CAL FIRE/Fresno County Fire,-119.2248,36.7218,,23ec2f69-da30-4983-80c2-1f04bfea6f9a,https://www.fire.ca.gov/incidents/2013/6/25/george-fire/,2013-06-25T17:15:00Z,2013-06-25,2013-06-25,N,True,False,25.3,0.0,54.0,22.6,2.7
Mount Fire,Y,2013-06-20T13:15:00Z,2013-06-20T14:29:00Z,CAL FIRE Sanoma-Lake-Napa Unit,,Lake,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",25.0,100.0,,CAL FIRE Sanoma-Lake-Napa Unit,-122.81796,38.98058,,d489b45e-dcba-4eaa-8bb5-6a23255562da,https://www.fire.ca.gov/incidents/2013/6/20/mount-fire/,2013-06-20T13:15:00Z,2013-06-20,2013-06-20,N,True,False,,,,,
Mills Fire,Y,2022-10-24T11:35:12Z,2013-06-28T14:30:00Z,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,,San Bernardino,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",534.0,100.0,,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,-117.048397,34.071556,,6011819c-19ac-46c2-aa48-0ee8be0e48c0,https://www.fire.ca.gov/incidents/2013/6/28/mills-fire/,2013-07-01T06:00:00Z,2013-07-01,2013-06-28,N,True,False,,,,,
Concord Fire,Y,2013-07-01T18:30:00Z,2013-07-01T15:41:00Z,CAL FIRE Santa Clara Unit,,Contra Costa,off Concord Ave & Vineyard Parkway in Brentwood,274.0,100.0,,CAL FIRE Santa Clara Unit,-121.74367,39.90465,,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,https://www.fire.ca.gov/incidents/2013/7/1/concord-fire/,2013-07-01T18:30:00Z,2013-07-01,2013-07-01,N,True,False,,,,,
Freeman Fire,Y,2013-06-29T18:30:00Z,2013-06-29T14:09:00Z,CAL FIRE San Benito-Monterey Unit ,,Monterey,"off Hwy 198, 10 miles east of King City",105.0,100.0,,CAL FIRE San Benito-Monterey Unit ,-120.8973,36.1531,,58317b8d-7f4d-466f-b2c7-035c25fb00f0,https://www.fire.ca.gov/incidents/2013/6/29/freeman-fire/,2013-06-29T18:30:00Z,2013-06-29,2013-06-29,N,True,False,15.3,0.0,85.0,18.5,3.1
Kirker Fire,Y,2022-10-24T11:37:51Z,2013-07-01T13:19:00Z,CAL FIRE Santa Clara Unit,,Contra Costa,Kirker Pass Road south of Pittsburg,492.0,100.0,,CAL FIRE Santa Clara Unit,-121.91453,37.96866,,522114fe-ada8-49a9-9bb2-5891103ff0ca,https://www.fire.ca.gov/incidents/2013/7/1/kirker-fire/,2013-07-01T18:40:00Z,2013-07-01,2013-07-01,N,True,False,,,,,
Northern Region July Lightning,Y,2013-07-04T10:45:00Z,2013-07-02T12:00:00Z,CAL FIRE Northern Region,,,Throughout northeastern California,754.0,100.0,,CAL FIRE Northern Region,-121.5747,39.9845,,42690ee2-a5ed-4320-9a55-d5ff3d1a80f5,https://www.fire.ca.gov/incidents/2013/7/2/northern-region-july-lightning/,2013-07-04T10:45:00Z,2013-07-04,2013-07-02,N,True,False,,,,,
Fox Fire (formally 3-7 Fire),Y,2013-07-05T18:30:00Z,2013-07-03T22:56:00Z,CAL FIRE Lassen-Modoc Unit,,Modoc,5 miles northwest of Aiden,502.0,100.0,,CAL FIRE Lassen-Modoc Unit,-121.035,41.2415,,8b51033d-abc6-4ea4-8983-990ad4e1c45e,https://www.fire.ca.gov/incidents/2013/7/3/fox-fire-formally-3-7-fire/,2013-07-05T18:30:00Z,2013-07-05,2013-07-03,N,True,False,,,,,
Vina Fire,Y,2013-07-04T10:30:00Z,2013-07-04T07:30:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Tehama-Vina Rd and Sherman Rd, Los Molinos",200.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.079871,40.012398,,c94959d7-eb88-4724-8feb-ba0662afca10,https://www.fire.ca.gov/incidents/2013/7/4/vina-fire/,2013-07-04T10:30:00Z,2013-07-04,2013-07-04,N,True,False,,,,,
Grant Fire,Y,2013-07-04T11:30:00Z,2013-07-04T10:00:00Z,CAL FIRE Santa Clara Unit,,Alameda,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",50.0,100.0,,CAL FIRE Santa Clara Unit,-121.5869,37.7393,,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,https://www.fire.ca.gov/incidents/2013/7/4/grant-fire/,2013-07-04T11:30:00Z,2013-07-04,2013-07-04,N,True,False,,,,,
Fallon Fire,Y,2013-07-06T14:30:00Z,2013-07-06T13:09:00Z,CAL FIRE Santa Clara Unit / Alameda County Fire,,Alameda,off Fallon Rd & Camino Tassajara near Dublin ,38.0,100.0,,CAL FIRE Santa Clara Unit / Alameda County Fire,-121.86216,37.74241,,4c04a4e5-f580-4e62-bb53-2575c72d29dc,https://www.fire.ca.gov/incidents/2013/7/6/fallon-fire/,2013-07-06T14:30:00Z,2013-07-06,2013-07-06,N,True,False,,,,,
Chariot Fire,Y,2013-07-15T06:15:00Z,2013-07-06T12:55:00Z,CAL FIRE San Diego Unit / Cleveland National Forest,,San Diego,"off Sunrise Hwy, 9 miles southeast of Julian",7055.0,100.0,,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS Cleveland NF, CHP, San Diego County Fire Authority, San Diego County Sheriff, California State Parks",-116.47381,32.95435,,ee19b2ec-a96a-4738-994e-fb3ea016e053,https://www.fire.ca.gov/incidents/2013/7/6/chariot-fire/,2013-07-15T06:15:00Z,2013-07-15,2013-07-06,N,True,False,19.7,0.0,80.0,24.8,1.4
Adelaida Fire,Y,2013-07-07T22:00:00Z,2013-07-07T13:16:00Z,CAL FIRE San Luis Obispo,,San Luis Obispo,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",85.0,100.0,,CAL FIRE San Luis Obispo,-120.83417,35.62743,,a97d2b3a-3a53-424f-852c-5f1b8d199cc3,https://www.fire.ca.gov/incidents/2013/7/7/adelaida-fire/,2013-07-07T22:00:00Z,2013-07-07,2013-07-07,N,True,False,16.2,0.0,71.0,21.1,1.4
McGanney Fire,Y,2013-07-08T17:30:00Z,2013-07-08T09:59:00Z,CAL FIRE Nevada-Placer-Yuba Unit,,Yuba,"off Highway 20 and McGanney Lane, west of Smartsville",73.0,100.0,,CAL FIRE Nevada-Placer-Yuba Unit,-121.31634,39.206,,397ed8e6-6088-4e03-9316-8f50c65a83be,https://www.fire.ca.gov/incidents/2013/7/8/mcganney-fire/,2013-07-08T17:30:00Z,2013-07-08,2013-07-08,N,True,False,,,,,
Fiddler Fire,Y,2013-07-09T15:00:00Z,2013-07-09T11:59:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,off Fiddler,43.0,100.0,,CAL FIRE Shasta-Trinity Unit,-122.7338,40.373,,3f64fc8a-8870-4e64-b60a-3e13c8532acd,https://www.fire.ca.gov/incidents/2013/7/9/fiddler-fire/,2013-07-09T15:00:00Z,2013-07-09,2013-07-09,N,True,False,,,,,
Kyburz Fire,Y,2013-07-11T18:30:00Z,2013-07-08T12:45:00Z,Eldorado National Forest,,El Dorado,"Off Hwy 50 at 30 Mile Tract, Kyburz",572.0,100.0,,Eldorado National Forest,-120.298,38.774,,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,https://www.fire.ca.gov/incidents/2013/7/8/kyburz-fire/,2013-07-11T18:30:00Z,2013-07-11,2013-07-08,N,False,False,,,,,
Uvas Fire,Y,2013-07-12T17:45:00Z,2013-07-12T13:09:00Z,CAL FIRE Santa Clara Unit,,Santa Clara,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",50.0,100.0,,CAL FIRE Santa Clara Unit,-121.7804,37.1438,,e779a754-29fd-472f-8d29-46cfee32d3c2,https://www.fire.ca.gov/incidents/2013/7/12/uvas-fire/,2013-07-12T17:45:00Z,2013-07-12,2013-07-12,N,True,False,,,,,
Diablo Fire,Y,2013-07-13T21:45:00Z,2013-07-12T15:35:00Z,CAL FIRE Santa Clara Unit,,Stanislaus,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",150.0,100.0,,CAL FIRE Santa Clara Unit,-121.1955,37.436,,873074c8-4b6d-417b-a78c-1d1430027805,https://www.fire.ca.gov/incidents/2013/7/12/diablo-fire/,2013-07-13T21:45:00Z,2013-07-13,2013-07-12,N,True,False,,,,,
Mountain Fire,Y,2022-10-24T11:38:10Z,2013-07-15T13:43:00Z,CAL FIRE Riverside Unit / San Bernardino National Forest,,Riverside,Hwy 243 & Hwy 74 near Mountain Center,27531.0,100.0,,CAL FIRE Riverside Unit / San Bernardino National Forest,-116.72885,33.7095,,a3149fec-4d48-427c-8b2c-59e8b79d59db,https://www.fire.ca.gov/incidents/2013/7/15/mountain-fire/,2013-07-30T18:00:00Z,2013-07-30,2013-07-15,N,True,False,25.2,0.0,45.0,23.9,1.9
Orleans Complex,Y,2013-08-03T15:00:00Z,2013-08-03T08:00:00Z,Six Rivers National Forest,,Humboldt,"10 miles east of Somes Bar, California",0.0,100.0,,Six Rivers National Forest,-123.376,41.333,,7d4f107b-66a9-43d2-819d-ec855c2947bf,https://www.fire.ca.gov/incidents/2013/8/3/orleans-complex/,2013-08-03T15:00:00Z,2013-08-03,2013-08-03,N,False,False,,,,,
Silverwood Fire,Y,2013-07-26T18:15:00Z,2013-07-25T15:09:00Z,San Bernardino County Fire,,San Bernardino, Hwy 138 west of Hwy 173,75.0,100.0,,San Bernardino County Fire,-117.352,34.316,,ed51bbd2-6f8e-4f46-9073-3673a583fada,https://www.fire.ca.gov/incidents/2013/7/25/silverwood-fire/,2013-07-26T18:15:00Z,2013-07-26,2013-07-25,N,True,False,,,,,
Flume Fire,Y,2013-07-28T17:50:00Z,2013-07-28T09:43:00Z,CAL FIRE San Diego Unit,,San Diego,Barrett Lake Road and Highway 94,25.0,100.0,,CAL FIRE San Diego Unit,-116.707335,32.612773,,c6cfeed9-55bb-4fdb-8a52-e4d947dba721,https://www.fire.ca.gov/incidents/2013/7/28/flume-fire/,2013-07-28T17:50:00Z,2013-07-28,2013-07-28,N,True,False,18.0,0.0,79.0,24.6,1.6
Aspen Fire,Y,2013-09-24T20:15:00Z,2013-07-22T22:15:00Z,Sierra National Forest,,Fresno,Seven miles north of Big Creek,22992.0,100.0,,Sierra National Forest,-119.318,37.279,,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,https://www.fire.ca.gov/incidents/2013/7/22/aspen-fire/,2013-09-24T20:15:00Z,2013-09-24,2013-07-22,N,False,False,26.8,0.1,43.0,27.2,2.4
Salmon River Complex,Y,2013-08-31T06:45:00Z,2013-07-31T22:00:00Z,Klamath National Forest,,Siskiyou,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",14754.0,100.0,,Klamath National Forest,-123.176,41.32,,ba76c009-09c9-497c-b923-1ac8cf05c20d,https://www.fire.ca.gov/incidents/2013/7/31/salmon-river-complex/,2013-08-31T06:45:00Z,2013-08-31,2013-07-31,N,False,False,,,,,
Branch Fire,Y,2013-08-04T14:45:00Z,2013-08-01T16:01:00Z,CAL FIRE Butte Unit,,Butte,Near Rocky Peak - North Fork Lake Oroville near Cherokee,92.0,100.0,,CAL FIRE Butte Unit,-121.50354,39.6612,,0b51d3d5-bb3a-426d-9c12-c1878a01d7cf,https://www.fire.ca.gov/incidents/2013/8/1/branch-fire/,2013-08-04T14:45:00Z,2013-08-04,2013-08-01,N,True,False,,,,,
